Date,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district-of-columbia,florida,georgia,guam,nebraska,nevada,new-hampshire,new-jersey,new-mexico,new-york,north-carolina,north-dakota,ohio,oklahoma,oregon,washington
2020-10-18,-0.4630188340019002,0.4322604798493137,-0.9111932322552387,0.07922872757465133,-0.8298099066582575,-0.4665431664656068,-0.7895317801778741,-0.5408564695754919,-1.0321836027879372,-1.298418842966099,-0.6789603685341737,1.473704542639298,-0.09853714763866152,-0.787740890853587,-0.8909034129683998,-0.8584838297582995,-0.49490167559133963,-0.7867637292073595,-0.27659601372658954,0.9494135070644635,-0.5109620769890406,0.012783905323992512,-0.5196206847420644,-0.8824072819835628
2020-10-19,-0.41360351825999647,0.24067033556589693,-0.9060236122173405,0.1848233193154166,-0.8330224893643738,-0.4224895169683447,-0.7691666010477832,-0.5331366036383987,-0.9730045062195973,-1.2740124957019483,-0.6714997928137862,1.668071849332151,-0.008627933868049416,-0.8227847474671246,-0.9020745091977848,-0.8445958035501427,-0.4505629962141766,-0.7822013613992274,-0.2631626227861806,0.90472118245478,-0.4729011458568016,0.012783905323992512,-0.5196206847420644,-0.8369931295932859
2020-10-20,-0.4314479378334617,-0.4059464013906347,-0.8646666519141551,0.24709705290612433,-0.8148178540297148,-0.31015271075032635,-0.7284362427876017,-0.5331366036383987,-0.9631413234582074,-1.2566464409178408,-0.6349429717838874,1.745818772009292,0.1360086274151092,-0.7819002480846641,-0.9020745091977848,-0.8323102419044656,-0.36927541735604447,-0.7804633165199389,-0.20012901914272335,0.9404750421425268,-0.4281628583855733,0.0648436643542272,-0.6698806537870848,-0.821855078796527
2020-10-21,-0.4081129276220071,-0.3341000972843534,-0.824048208759241,0.24438949927174572,-0.8196367280888892,-0.2749097911525167,-0.735841762471271,-0.5948955311351448,-0.8546463130829177,-1.242096503125751,-0.6177836476269961,1.7846922333478625,0.1360086274151092,-0.725440701318409,-0.9244167016565548,-0.7986584860923933,-0.3803600872003352,-0.7787252716406505,-0.18359561490837392,1.0298596913618938,-0.4074630537347064,0.1528067054742789,-0.5674306748927527,-0.7385957994143526
2020-10-22,-0.40674027996250983,-0.3341000972843534,-0.8122319343869023,0.182115765681038,-0.8242771253310572,-0.2418695540295701,-0.7006655439738414,-0.5099770058271188,-0.8645094958443077,-1.2660334975578988,-0.64538777779243,2.0568064627178564,0.21419055243303275,-0.7546439151630236,-0.8797323167390148,-0.7943852472591143,-0.33971629777126916,-0.7709040696838526,-0.19806234361342967,1.539352191912286,-0.3800858927448503,0.22461326965391296,-0.5674306748927527,-0.7650873883086808
2020-10-23,-0.373796736134574,0.09697772735333435,-0.8366030002798508,0.20106864112168818,-0.8314161980113156,-0.2352615066049808,-0.6988141640529241,-0.5408564695754919,-0.9039622268898675,-1.2472593842777828,-0.6140533597668023,2.0179330013792858,0.1711904936731748,-0.8072097000833302,-0.9132456054271697,-0.7826338404675971,-0.2805980586017185,-0.7628656121171435,-0.22286244996495383,1.592982981443906,-0.344028168514308,0.3071908184604921,-0.4923006903702424,-0.6515520073329887
2020-10-24,-0.32987201103065955,0.07302895931790725,-0.8336489316867661,0.19023842658417378,-0.8321301052793415,-0.12733006533668867,-0.6988141640529241,-0.5640160673867718,-0.8842358613670875,-1.2247304483416437,-0.6565786413730113,2.0179330013792858,0.3158270549563334,-0.8072097000833302,-0.8685612205096298,-0.7762239822176785,-0.15127691041832642,-0.7580859886991004,-0.221829112200307,1.5572291217561591,-0.3386862834431166,0.2497455671167849,-0.471810694591376,-0.7461648248127322
2020-10-25,-0.3271267157116649,0.07302895931790725,-0.8270022773523257,0.22272907019671695,-0.838912224325587,-0.15596493750990903,-0.6988141640529241,-0.5640160673867718,-0.8645094958443077,-1.1979773369174784,-0.6685155625256313,2.0179330013792858,0.35491801746529517,-0.8072097000833302,-0.8238768355920898,-0.7858387695925563,-0.06629444161209733,-0.764603656996432,-0.25696259619829953,1.503598332224539,-0.3500377892193984,0.2497455671167849,-0.471810694591376,-0.7726564137070603
2020-10-26,-0.26535757103428526,-0.11856118496550955,-0.8203556230178851,0.2660499283467745,-0.8349857343514449,-0.1449515251355935,-0.6303131069789824,-0.5254167377013054,-0.8349199475601378,-1.1796725764693652,-0.6147994173388411,2.0179330013792858,0.35100892121439903,-0.7332282250103063,-0.8015346431333198,-0.7431063812597662,-0.05890466171590349,-0.7550444101603456,-0.21046239678919176,1.3605828934735518,-0.3046317661142711,0.2497455671167849,-0.471810694591376,-0.8332086168940962
2020-10-27,-0.21868755061137615,0.6238506241327305,-0.8026312114593771,0.336446322840618,-0.8333794429983867,-0.019398624068396545,-0.5895827487188007,-0.6412147267577045,-0.756014485469018,-1.152450112213197,-0.5528766388596247,2.1734268467335682,0.3197361512072296,-0.6611936308602567,-0.7345080657570098,-0.7382989875723273,0.0076033573498410015,-0.7498302755224803,-0.18876230373160813,1.6019214463658427,-0.2712449844193246,0.2192277773404404,-0.35570071851113283,-0.7083196978208347
